Weight,Word
73,NORTH MIAMI BEACH
73,WEST FARGO
73,HAMMONTON
73,BISMARCK
73,ALISO VIEJO
73,ATLANTIC BEACH
73,ROCK HILL
73,HILTON HEAD ISLAND
73,BROOKLINE
73,WAKE FOREST
73,CORTLAND
73,RED WING
73,LEES SUMMIT
73,WAUKEGAN
73,SMYRNA
73,NEW ALBANY
73,PONTE VEDRA BEACH
73,STATE COLLEGE
73,SAINT CLOUD
73,GLEN BURNIE
73,TUALATIN
73,NICHOLASVILLE
73,BRENHAM
73,EUREKA
73,ELKHORN
73,ALTOONA
73,HEMPSTEAD
73,WILDWOOD
73,PHARR
73,WALNUT CREEK
73,MISSION VIEJO
73,DELAWARE
73,CENTENNIAL
73,LIBERTYVILLE
73,NORTH SMITHFIELD
73,TUKWILA
73,INGLEWOOD
73,MARSHFIELD
73,STOUGHTON
73,LANSDALE
73,DEER PARK
73,CHEVY CHASE
73,RICHFIELD
73,GRIFFIN
73,EVANS
73,PEARLAND
73,MILILANI
73,WINCHESTER
73,NORTHVALE
73,MARYSVILLE
73,MORGANTOWN
73,HATFIELD
73,ENCINITAS
73,PLATTSBURGH
73,LATHAM
73,WINTER PARK
73,WILLIAMSVILLE
73,DALHART
73,OWOSSO
73,BROOKHAVEN
73,SANTA CLARITA
73,NEWPORT
73,CHILLICOTHE
73,OAK PARK
73,BONITA SPRINGS
73,HAMPTON
73,ARLINGTON HEIGHTS
73,PLANT CITY
73,TEANECK
73,SOUTHAVEN
73,MODESTO
73,SEASIDE
73,SOUTH GATE
73,BENSENVILLE
73,NORTH SALT LAKE
73,JEFFERSON CITY
73,HAWTHORNE
73,ROCKY MOUNT
73,MCMINNVILLE
73,TRACY
73,AMHERST
73,DICKINSON
73,NOVATO
73,GREENFIELD
73,ZEELAND
73,GARLAND
73,GREENWOOD VILLAGE
73,ST LOUIS
73,LA CROSSE
73,RICHARDSON
72,PASCO
72,LINTHICUM HEIGHTS
72,SELLERSBURG
72,WILBRAHAM
72,ELMWOOD PARK
72,STANHOPE
72,MEDINA
72,WEST COVINA
72,MIAMISBURG
72,EAST RUTHERFORD
72,FOLCROFT
72,LAKE CITY
72,WINDHAM
72,COMMACK
72,SPRING HILL
72,WOODBURY
72,SOUTHFIELD
72,OXNARD
72,FOSTER CITY
72,YUCAIPA
72,ELMER
72,REDONDO BEACH
72,FORT MYERS BEACH
72,TULARE
72,JENKINTOWN
72,CLAREMONT
72,PASCAGOULA
72,LAKE GENEVA
72,SEAL BEACH
72,LIBERTY
72,TOPSFIELD
72,ANTIOCH
72,BETHLEHEM
72,OAKDALE
72,NEW CITY
72,BOHEMIA
72,ESSEX
72,SANTA PAULA
72,THE WOODLANDS
72,CALISTOGA
72,EFFINGHAM
72,CANONSBURG
72,WATCHUNG
72,LAKE STEVENS
72,CRYSTAL LAKE
72,CEDAR FALLS
72,SHELBY TWP
72,HIAWATHA
72,PASO ROBLES
72,LINDENHURST
72,BESSEMER
72,BLACKFOOT
72,CARTERSVILLE
72,HERMITAGE
72,EATONTON
72,SOUTHAMPTON
72,EUSTIS
72,HARMONY
72,WOODINVILLE
72,PENNSAUKEN
72,PATCHOGUE
72,CONKLIN
72,NANUET
72,COOKEVILLE
72,MINOT
72,PALM DESERT
72,NEW BRUNSWICK
72,JEFFERSON
72,EXETER
72,GOLETA
72,KIMBERLY
72,COLTON
72,MERCED
72,RONKONKOMA
72,SOUTHINGTON
72,BAYAMON
72,DICKSON
72,PICO RIVERA
72,THORNTON
72,GALLATIN
72,SAUSALITO
72,WATKINSVILLE
72,UNION
72,NAMPA
72,KLAMATH FALLS
72,GLEN ALLEN
72,WASILLA
72,PINE BROOK
72,HOLYOKE
72,MARTINSVILLE
72,HICKSVILLE
72,PORT HURON
72,CROWN POINT
72,ST. PETERSBURG
72,FT LAUDERDALE
72,BOSSIER CITY
72,PARKVILLE
72,POPLAR BLUFF
72,RUSSELLVILLE
72,GORDONVILLE
72,TWINSBURG
72,WILLINGBORO
72,NORTH CANTON
72,MAYFIELD
72,FOLEY
72,LAMAR
72,TEWKSBURY
72,ALAMO
72,HASTINGS
72,GREER
72,LA PORTE
72,MURFREESBORO
72,WAXAHACHIE
72,GREAT FALLS
72,WALLED LAKE
72,POWHATAN
72,BRICK
72,PALMETTO
72,MAHWAH
72,TIFTON
72,ASPEN
72,BINGHAM FARMS
72,LYNCHBURG
72,BAXTER
72,TEXARKANA
72,SARATOGA SPRINGS
72,KEENESBURG
72,DELAFIELD
72,LAWTON
72,SOLON
72,WESTFORD
72,KEY LARGO
72,KINGSTON
72,VICTORVILLE
72,SEWICKLEY
72,GREAT BARRINGTON
72,BERKLEY
72,MAUSTON
72,HERNANDO
72,HENRICO
72,ELVERSON
72,WATERFORD
72,SAINT MICHAEL
72,UKIAH
72,AGOURA HILLS
72,WESTLAKE
72,HILLSBOROUGH
72,BURLEY
72,PARKER
72,MORRIS
72,OCONOMOWOC
72,SUMNER
72,FLOWER MOUND
72,CLOSTER
72,BOYCE
72,MALDEN
72,HARBOR SPRINGS
72,DENISON
72,PARK RIDGE
72,KAUFMAN
72,PLAINVILLE
72,BELLEVILLE
72,CHARLESTOWN
72,BOTHELL
72,HALTOM CITY
72,BENTON HARBOR
72,FARMERS BRANCH
72,SOLANA BEACH
72,IRONDALE
72,LAKEVILLE
72,SAN GABRIEL
72,PARSIPPANY
72,MEADVILLE
72,VOORHEES
72,KANEOHE
72,SEFFNER
72,SAINT AUGUSTINE
72,WARRENVILLE
72,WAPPINGERS FALLS
72,KINGWOOD
72,NORTH PLAINFIELD
72,KOKOMO
72,CORONADO
72,AIKEN
72,EAST MEADOW
72,PLYMOUTH MEETING
72,FRONT ROYAL
72,CHAMPAIGN
72,VESTAVIA
72,CHINO HILLS
72,WILLIAMS
72,WOODRIDGE
72,NORWOOD
72,ARCHBOLD
72,SAN ANGELO
72,SEYMOUR
72,BALA CYNWYD
72,CLARKS SUMMIT
72,CLIFTON SPRINGS
72,PERRIS
72,NASH
72,AMBLER
72,OWINGS MILLS
72,DIX HILLS
72,FONTANA
72,EMMAUS
72,LISLE
72,FRAMINGHAM
72,CELINA
72,HART
72,BROOKLANDVILLE
72,CHELSEA
72,CINNAMINSON
72,MUNSTER
72,TAKOMA PARK
72,WILLOWBROOK
72,GRAND FORKS
72,VERONA
72,HOCKESSIN
72,SIDNEY
72,PRESCOTT VALLEY
72,BEAR
72,ARDEN HILLS
72,TOLLESON
72,MOONACHIE
72,BECKER
72,LYNDEN
72,LODI
72,MARGATE
72,HYDE PARK
72,TERRYVILLE
72,ABILENE
72,JENNINGS
72,MANASSAS PARK
72,NORCO
72,NANTUCKET
72,NEPTUNE
72,OPELOUSAS
72,CUMBERLAND
72,EDGERTON
72,BARTLETT
72,KEARNEY
72,MARTINEZ
72,SAPULPA
72,EL DORADO
72,DOTHAN
72,ITASCA
72,DRIPPING SPRINGS
72,BELLVILLE
72,KALAMAZOO
72,EAST ROCHESTER
72,PARK CITY
72,WILLIAMSPORT
72,LEWISBURG
72,RIDGELAND
72,RAMSEY
72,MAITLAND
72,BARNEGAT
72,ELMIRA
72,TONAWANDA
72,PUNTA GORDA
72,CRESTWOOD
72,WYNNEWOOD
72,ORANGE PARK
72,MORENO VALLEY
72,BRIDGEVIEW
72,BELLE CHASSE
72,BAYTOWN
72,CEDAR HILL
72,ROCHESTER HILLS
72,SPRING VALLEY
72,LAKE OSWEGO
72,LONGWOOD
72,FERTILE
72,BRANSON
72,WEST VALLEY CITY
72,WEST LIBERTY
72,HILLSDALE
72,INDIO
72,WHITSETT
72,MIDDLE VILLAGE
72,DERRY
72,BURR RIDGE
72,TILTON
72,MEQUON
72,WAIPAHU
72,SELLERSVILLE
72,WAVERLY
72,SHALLOTTE
72,DURANGO
72,LANHAM
72,GASTONIA
72,RIDGEWOOD
72,PACOIMA
72,ROCKLIN
72,PEARL
72,HAZLET
72,COLLEGEVILLE
72,STUDIO CITY
72,GROVE CITY
72,HORSESHOE BAY
72,GRAND ISLAND
72,THE DALLES
72,GRETNA
72,PONCE
72,GRANDVILLE
72,SCOTTS VALLEY
72,NORTHPORT
72,FITCHBURG
72,TUPELO
72,SAN CARLOS
72,MINEOLA
72,MILLERSVILLE
72,ROY
72,SOUTHBOROUGH
72,WAILUKU
72,PARKERSBURG
72,WAREHAM
72,TARRYTOWN
72,HALETHORPE
72,MADISON HEIGHTS
72,GROTON
72,COLDWATER
72,DUNCAN
72,KENNER
72,BOLINGBROOK
72,BRIDGETON
72,ROSEMONT
72,DENHAM SPRINGS
72,FAIRFAX STATION
72,ONEONTA
72,BURLESON
72,CLEARFIELD
72,GROESBECK
72,SAN DIMAS
72,APEX
72,MOCKSVILLE
72,HARRISON TOWNSHIP
72,CURTIS BAY
72,CALEXICO
72,GRESHAM
72,LYNWOOD
72,FORT MILL
72,VALPARAISO
72,EDEN PRAIRIE
72,ROSLYN HEIGHTS
72,NEW BERLIN
72,QUINCY
72,COMSTOCK PARK
72,CIRCLEVILLE
72,COMPTON
72,MONROE TOWNSHIP
72,MORGANTON
72,CAMPBELL
72,FALLS CHURCH
72,DEXTER
72,SULPHUR
72,SAINT CLAIR SHORES
72,ALLISON PARK
72,DEARBORN
72,WAUCONDA
72,PITTSBURG
72,SANFORD
72,CRANBURY
72,FALMOUTH
72,CARPINTERIA
72,POWELL
72,CATANO
72,STANLEY
72,OWATONNA
72,OSHKOSH
72,QUEENS VILLAGE
72,MCKEESPORT
72,BENSALEM
72,ROLLING MEADOWS
72,ANOKA
72,SIMI VALLEY
72,TILLAMOOK
72,MARINA DEL REY
72,HAMDEN
72,DEDEDO
72,MOUNT CARMEL
72,ABINGDON
72,PRIOR LAKE
72,BURLINGAME
72,COLMAR
72,JAMAICA PLAIN
72,FREELAND
72,NOGALES
72,SADDLE BROOK
72,MALVERN
72,COMMERCE TOWNSHIP
72,CONSHOHOCKEN
72,NORTH DARTMOUTH
72,MERIDEN
72,EAST BRUNSWICK
72,SOMERSWORTH
72,FORT PIERCE
72,MORRISVILLE
72,EMPORIA
72,MONTPELIER
72,PARAMOUNT
72,LACONIA
72,WATERLOO
72,ALTAMONT
72,CORONA DEL MAR
72,ELKHART
72,HOBOKEN
72,ANKENY
72,NORTHBROOK
72,MCDONOUGH
72,WILLOUGHBY
72,ST. THOMAS
72,CORTE MADERA
72,RIVERHEAD
72,WALDEN
72,SHEFFIELD
72,MADERA
72,TARPON SPRINGS
72,BRONXVILLE
72,BATESVILLE
72,MAPLE GROVE
72,KAMUELA
72,ELMA
72,PALM COAST
72,SAIPAN
72,STEAMBOAT SPRINGS
72,NOVI
72,ORANGE BEACH
72,FAIRMONT
72,BUFORD
72,EL CAMPO
72,MACOMB
72,BABYLON
72,TOMBALL
72,ALVA
72,TURLOCK
72,OSCEOLA
72,NORTH LITTLE ROCK
72,FLUSHING
72,SANDWICH
72,BENTON
72,RAYNHAM
72,WEATHERFORD
72,RIPON
72,SNEADS FERRY
72,TRUCKEE
72,WAYNESBORO
72,OPA LOCKA
72,PLEASANT HILL
72,GREELEY
72,GREENSBURG
72,RANCHO DOMINGUEZ
72,WARNER ROBINS
72,ELLENSBURG
72,SEGUIN
72,ALTADENA
72,GLENDORA
72,BLUFFTON
72,POMPTON PLAINS
72,YORBA LINDA
72,NIAGARA FALLS
72,WAUSAU
72,BRAINERD
72,DANBURY
72,CANDLER
72,BAINBRIDGE ISLAND
72,SHOREWOOD
72,DULLES
72,MUSKEGON
72,SPRINGDALE
72,VOLO
72,LUTZ
72,NEW BEDFORD
72,WISCONSIN RAPIDS
72,JURUPA VALLEY
