Weight,Word
73,ROCKY MOUNT
73,CLAREMONT
73,YAKIMA
73,LORTON
73,RAYMOND
73,CARTHAGE
73,WAUNAKEE
73,CLINTON TOWNSHIP
73,COLCHESTER
73,PLEASANT HILL
73,NEWBURGH
73,NEWINGTON
73,CEDARBURG
73,GREENWICH
73,CAIRO
73,JESSUP
73,FONTANA
73,OAK BROOK
73,BERKELEY
73,CANOGA PARK
73,SANTA ROSA BEACH
73,URBANDALE
73,GREELEY
73,VERNON HILLS
73,HARLEYSVILLE
73,STUDIO CITY
73,ALBERT LEA
73,EVERETT
73,SOUTH MIAMI
73,PATCHOGUE
73,NAPERVILLE
73,BOHEMIA
73,NORTH LIBERTY
73,WALNUT
73,MARTINEZ
73,PEMBROKE PINES
73,EDINA
73,ROMULUS
73,HIALEAH GARDENS
73,RED BANK
73,SOUTH OZONE PARK
73,PIGEON FORGE
73,STOUGHTON
73,SIMI VALLEY
73,FT LAUDERDALE
73,KEMAH
73,ROXBURY
73,CHADDS FORD
73,WEBSTER
73,CULPEPER
73,HARRISON
73,ELKTON
73,SOUTH PORTLAND
73,SCHENECTADY
73,CHESTER
73,WASILLA
73,MAPLETON
73,GRANBURY
73,SAGINAW
73,SHERMAN OAKS
73,JEFFERSON CITY
73,MILILANI
73,WAKEFIELD
73,JACKSON HEIGHTS
73,FRAMINGHAM
73,COMMERCE
73,FORT WALTON BEACH
73,DURANT
73,BLUE BELL
73,WOODINVILLE
73,TARRYTOWN
73,CEDAR CITY
73,LA CROSSE
73,SCRANTON
73,MIRAMAR
73,LOGANSPORT
73,FARMINGTON HILLS
73,WESTWOOD
73,SUMMIT
73,WESTFORD
73,WICHITA FALLS
73,PONTE VEDRA BEACH
73,FERGUS FALLS
73,NOVATO
73,WYCKOFF
73,RIVERTON
73,RADNOR
73,MISHAWAKA
73,KIRKLAND
73,PENNSAUKEN
73,OPELIKA
73,BEVERLY
73,JEFFERSON
73,BAY SHORE
73,SUN VALLEY
73,COCKEYSVILLE
73,CLEBURNE
73,NEW HYDE PARK
73,MISSOULA
73,LINDON
73,SOUTH BOSTON
73,ELK GROVE
73,NORTHRIDGE
73,ELMSFORD
73,SPRING VALLEY
73,LAWRENCEBURG
73,STRATFORD
73,NORTH BRUNSWICK
73,CRESSON
73,PERRYSBURG
73,WEST BEND
73,GLEN BURNIE
73,SPRINGVILLE
73,WALPOLE
73,BENSENVILLE
73,VALLEY STREAM
73,BROOMFIELD
73,HILLIARD
73,MONUMENT
73,GRIFFIN
73,LYNCHBURG
73,EFFINGHAM
73,ORLAND
73,ITASCA
73,DICKINSON
73,AMHERST
73,BOTHELL
73,CAMDEN
73,LOS ALAMITOS
73,OAK PARK
73,ADELANTO
73,MICHIGAN CITY
73,LUTHERVILLE TIMONIUM
73,PICAYUNE
73,DARIEN
73,WHEELING
73,CAROL STREAM
73,EDGEWOOD
73,MCKINNEY
73,CHICO
73,LIVERPOOL
73,WINTER HAVEN
73,NEW IBERIA
73,SHELTON
73,BURLINGAME
73,SUMNER
73,HERNDON
73,LOWELL
73,ORMOND BEACH
73,GREENWOOD VILLAGE
73,PARK RIDGE
73,PLAINVILLE
72,EVANS
72,DOYLESTOWN
72,FENTON
72,KELLER
72,OCOEE
72,RIPON
72,PEDRICKTOWN
72,MCMINNVILLE
72,THORNTON
72,FREEHOLD
72,CAREY
72,DERRY
72,CENTRAL FALLS
72,NORTH PALM BEACH
72,NATCHEZ
72,ROOSEVELT
72,PERRIS
72,HAVERHILL
72,ALAMEDA
72,WYLIE
72,LOGANVILLE
72,WINONA
72,KINGSBURG
72,WALTON
72,SISTERS
72,BENICIA
72,AMSTERDAM
72,SCHAUMBURG
72,FLOWERY BRANCH
72,WEST LEBANON
72,LARAMIE
72,COLUMBIA CITY
72,MEDLEY
72,BEL AIR
72,PANTEGO
72,SILVERTON
72,MOOSIC
72,LEAWOOD
72,PECONIC
72,WALL TOWNSHIP
72,NORMAL
72,MANALAPAN
72,REEDSBURG
72,FAIRBURY
72,CHESHIRE
72,MAYFIELD
72,MARATHON
72,GRANTS PASS
72,BOWIE
72,PASO ROBLES
72,RENSSELAER
72,SAN MARCOS
72,FLOWOOD
72,MILLERSVILLE
72,CLAXTON
72,FAIR OAKS
72,PINEVILLE
72,FREEDOM
72,SOUTH GATE
72,ATASCADERO
72,EBENSBURG
72,BRIGHTON
72,HATFIELD
72,YORKVILLE
72,ANNISTON
72,BLOOMFIELD HILLS
72,PALOS HEIGHTS
72,MOLINE
72,JENKS
72,KINGSTON
72,EAST GREENWICH
72,CHICAGO HEIGHTS
72,HURON
72,NATIONAL CITY
72,GRESHAM
72,FULTON
72,BOLINGBROOK
72,MECHANICSBURG
72,NARBERTH
72,ARCHDALE
72,NORRISTOWN
72,RANCHO MIRAGE
72,DIXON
72,KALISPELL
72,MANHEIM
72,BELVIDERE
72,COEUR D ALENE
72,ROWLETT
72,SAN CLEMENTE
72,BROKEN BOW
72,FITCHBURG
72,PALM COAST
72,QUAKERTOWN
72,BILOXI
72,DYER
72,WESTBURY
72,WILSONVILLE
72,HANAHAN
72,DIAMOND BAR
72,UNIONDALE
72,WELLSVILLE
72,ARNOLD
72,OSAGE BEACH
72,BAXTER
72,IRONTON
72,MEDINA
72,FARMERSVILLE
72,NEW LENOX
72,CORVALLIS
72,TUKWILA
72,STANWOOD
72,BRYANT
72,BROKEN ARROW
72,MUNDELEIN
72,WARRINGTON
72,BESSEMER
72,SUGAR GROVE
72,TOOELE
72,PETERSBURG
72,HIRAM
72,EATONTOWN
72,BUELLTON
72,ARCADIA
72,MONROVIA
72,NEW FREEDOM
72,SAINT HELENA
72,CAGUAS
72,SOLON
72,AUBURNDALE
72,SANDY
72,DREXEL HILL
72,CROTON FALLS
72,PENDLETON
72,WILLOUGHBY
72,STOWE
72,NEW PROVIDENCE
72,CREST HILL
72,PITTSTON
72,ASHEVILLE
72,CHANHASSEN
72,MORENO VALLEY
72,POMPTON LAKES
72,HARRISONBURG
72,BELLE CHASSE
72,BEAR
72,CHINO
72,MONTEBELLO
72,PLAINFIELD
72,NORWICH
72,HEREFORD
72,EDMONDS
72,MOUNT AIRY
72,GREENBRAE
72,WENDELL
72,COLLEGE STATION
72,BRANCHBURG
72,PLACENTIA
72,TELLURIDE
72,BATESVILLE
72,PANAMA CITY BEACH
72,NEWTOWN SQUARE
72,GLEN ROCK
72,TREVOSE
72,UKIAH
72,JAMAICA
72,ROCKVILLE CENTRE
72,WAIPAHU
72,EMERYVILLE
72,BUTLER
72,TOWSON
72,LEES SUMMIT
72,MIDDLEBURG HEIGHTS
72,MARLBOROUGH
72,VALPARAISO
72,NEW SMYRNA BEACH
72,CARSON
72,PLYMOUTH MEETING
72,TAYLOR
72,SUNNYSIDE
72,DRIPPING SPRINGS
72,LACONIA
72,HUTCHINSON
72,STEPHENVILLE
72,EL DORADO HILLS
72,PAOLI
72,HOBBS
72,ROLLING MEADOWS
72,KENOSHA
72,WELLINGTON
72,WORTHINGTON
72,SHOREWOOD
72,SEDALIA
72,NEW HOLLAND
72,BATTLE GROUND
72,SUFFERN
72,MUNSTER
72,NARANJITO
72,CALEDONIA
72,BAYAMON
72,BROADVIEW
72,NORTH OLMSTED
72,FRIENDSWOOD
72,REVERE
72,LEMON GROVE
72,METHUEN
72,CORSICANA
72,GIG HARBOR
72,PEARL
72,STATESVILLE
72,WOOD DALE
72,CARLINVILLE
72,ALLSTON
72,BLOOMINGDALE
72,WESTLAKE
72,FALLBROOK
72,HURST
72,MENTOR
72,LUTZ
72,PEMBROKE
72,MARIA STEIN
72,CIRCLEVILLE
72,STAYTON
72,WARWICK
72,ANOKA
72,SAN DIMAS
72,MELROSE PARK
72,LUMBERTON
72,ELMONT
72,WEST CHICAGO
72,VICTOR
72,ASHBURN
72,CAPE GIRARDEAU
72,STUTTGART
72,ANNANDALE
72,BEAVERCREEK
72,KINGWOOD
72,HOLLY SPRINGS
72,MORROW
72,YORBA LINDA
72,VALLEY CENTER
72,BALLWIN
72,LAKE BLUFF
72,KINGS MOUNTAIN
72,ST PETERSBURG
72,EL MONTE
72,SPENCER
72,MOON TOWNSHIP
72,BUNNELL
72,INGLEWOOD
72,LAGUNA HILLS
72,BOUNTIFUL
72,MAPLEWOOD
72,GROSSE POINTE FARMS
72,RAINBOW CITY
72,SARATOGA SPRINGS
72,CLARKSVILLE
72,GREENSBURG
72,MORTON GROVE
72,WHITEHALL
72,ALICE
72,EDWARDSVILLE
72,NORTH BRANCH
72,SACO
72,DOTHAN
72,CASTLE ROCK
72,FISHERSVILLE
