Link,Title,Author,Rating,Total Views,Average Views,Followers,Favorites,Ratings,Pages,Patreon Link,Patron Count,Earnings
https://www.royalroad.com/fiction/51921/reborn-as-a-ghost-time-to-build-my-undead-army,Reborn As A Ghost: Time To Build My Undead Army!,Pancakes Witch,4.0,1474.0,368.0,23.0,7.0,2.0,20.0,,,
https://www.royalroad.com/fiction/56143/the-fight-we-chose,The Fight We Chose,DFMR (Frank),4.75,4310.0,269.0,23.0,8.0,4.0,160.0,,,
https://www.royalroad.com/fiction/47978/murder-in-heliopolis-a-solarpunk-mystery,Murder in Heliopolis: A Solarpunk Mystery,HybaIsWriting,4.875,3553.0,115.0,23.0,5.0,4.0,263.0,,,
https://www.royalroad.com/fiction/46936/intergalactic-cultural-research,Intergalactic Cultural Research,LowHunTolerance,4.75,2830.0,149.0,23.0,7.0,6.0,132.0,,,
https://www.royalroad.com/fiction/54176/wild-child,Wild Child,hippo_mariachi,4.625,1135.0,189.0,23.0,5.0,4.0,25.0,,,
https://www.royalroad.com/fiction/55418/rock-and-roll-a-newtonian-physics-based-rolling,Rock and Roll (A Newtonian Physics Based Rolling Stone LitRPG),zechamp,5.0,442.0,442.0,22.0,5.0,6.0,3.0,https://www.patreon.com/zechamp,72.0,278.791578
https://www.royalroad.com/fiction/53490/the-choice-of-twilight,The Choice of Twilight,wiserthanthou,4.85,3347.0,90.0,22.0,11.0,10.0,323.0,https://www.patreon.com/wiserthanthou,6.0,42.943446
https://www.royalroad.com/fiction/53717/crows-of-a-feather,Crows of a Feather,Max Anthony,4.65,3834.0,142.0,22.0,4.0,10.0,279.0,https://www.patreon.com/maxanthony,2.0,12.951198
https://www.royalroad.com/fiction/52250/mara-the-undying,Mara the Undying,drewclaar,4.75,2303.0,192.0,22.0,4.0,4.0,85.0,https://www.patreon.com/drewclaar,0.0,0.0
https://www.royalroad.com/fiction/33613/tides-of-protomis,Tides Of Protomis,KaiserH,3.92857,14906.0,157.0,22.0,9.0,7.0,1122.0,https://www.patreon.com/KaiserF,0.0,0.0
https://www.royalroad.com/fiction/52934/canyon-of-crystal-mage-war-chronicles-book-two,Canyon of Crystal: Mage War Chronicles Book Two,ajcerna,4.25,336.0,112.0,22.0,2.0,2.0,22.0,,,
https://www.royalroad.com/fiction/54059/i-got-reincarnated-as-a-cute-silver-haired-demon,"I Got Reincarnated as a Cute, Silver Haired Demon.. Now What?",NickDesu,4.625,1597.0,228.0,22.0,5.0,4.0,86.0,,,
https://www.royalroad.com/fiction/40369/raising-a-mutant-a-young-superman-and-friends,Raising a Mutant: A Young Superman (and friends) Hurt/Comfort Adoption Fic,Kaylie Night,4.142855,9255.0,201.0,22.0,5.0,7.0,183.0,,,
https://www.royalroad.com/fiction/53229/the-elements-of-a-savior,The Elements of a Savior,David Pontier,4.7,3353.0,99.0,22.0,2.0,5.0,384.0,,,
https://www.royalroad.com/fiction/21919/the-wise-old-dragon,The Wise Old Dragon,MoonManJack,5.0,1696.0,242.0,22.0,5.0,3.0,54.0,,,
https://www.royalroad.com/fiction/42950/players-in-remnant,Players in Remnant,UndeadLord22,2.5,2975.0,212.0,22.0,10.0,5.0,372.0,,,
https://www.royalroad.com/fiction/51427/theres-a-demon-in-my-bed-and-she-keeps-stealing,There's a demon in my bed and she keeps stealing all my energy drinks,tee,4.77778,3529.0,252.0,22.0,7.0,9.0,185.0,,,
https://www.royalroad.com/fiction/54207/the-akashic-record-entry-1-ascension,The Akashic Record Entry 1: Ascension,RecorderAkash,4.5,3752.0,82.0,22.0,4.0,3.0,254.0,,,
https://www.royalroad.com/fiction/55595/sword-of-cho-nisi-the-saga,Sword of Cho Nisi the Saga,D.L. Gardner,5.0,605.0,60.0,22.0,4.0,1.0,107.0,https://www.patreon.com/DLGardner,,
https://www.royalroad.com/fiction/47788/the-exiles-return,The Exiles return,Meniir,4.07143,2125.0,193.0,22.0,3.0,7.0,57.0,,,
https://www.royalroad.com/fiction/58025/maze-breaker-litrpg-pet-evolution,Maze Breaker - LitRPG Pet Evolution ,Sly Lyon,4.333335,828.0,138.0,22.0,2.0,3.0,27.0,,,
https://www.royalroad.com/fiction/46731/baron-britpop-blastfurnace,Baron Britpop Blastfurnace,Captain Peanut Butter,4.9375,8616.0,97.0,22.0,8.0,8.0,307.0,,,
https://www.royalroad.com/fiction/54845/my-new-life-as-a-reincarnated-succubus,My New Life as a Reincarnated Succubus,MeaLactea,4.5,348.0,348.0,22.0,7.0,2.0,3.0,,,
https://www.royalroad.com/fiction/51357/immortal-hedonist,Immortal Hedonist,Classy Cosplayer,3.75,5178.0,192.0,22.0,2.0,2.0,155.0,,,
https://www.royalroad.com/fiction/51600/saved-by-arceus-pokemon-reincarnation-fic,Saved by Arceus [Pokémon Reincarnation Fic],Prime Lord,4.833335,978.0,244.0,22.0,8.0,3.0,13.0,,,
https://www.royalroad.com/fiction/56494/desperate-times-a-49ers-gamelit-trilogy,Desperate Times - A 49ers GameLit Trilogy,matthewsylvester,5.0,2166.0,114.0,22.0,3.0,3.0,165.0,,,
https://www.royalroad.com/fiction/54747/dont-come-inside-okay,"Don't Come Inside, Okay?",Lire,4.5,2048.0,293.0,22.0,2.0,4.0,105.0,,,
https://www.royalroad.com/fiction/57911/world-of-broken-dreams,World of Broken Dreams,kjforthman,4.5,3039.0,117.0,22.0,8.0,7.0,276.0,,,
https://www.royalroad.com/fiction/52515/player-of-trials,Player of Trials,Jumper19,3.0,9228.0,237.0,22.0,5.0,5.0,187.0,,,
https://www.royalroad.com/fiction/56579/interdimensional-resource-collector-in-a-fantasy,Interdimensional Resource Collector in a Fantasy World: (A LitRPG),Swartze,3.875,2569.0,151.0,22.0,5.0,4.0,121.0,,,
https://www.royalroad.com/fiction/55030/the-slightly-late-show-comedy-late-night-talk,"The Slightly Late Show (Comedy, Late Night Talk Show Progression Fantasy)",JMWebb,4.75,4109.0,179.0,22.0,5.0,10.0,87.0,,,
https://www.royalroad.com/fiction/57452/mutation-of-the-apocalypse, Mutation of the Apocalypse,Tarhuala,3.3,5810.0,145.0,22.0,3.0,5.0,232.0,,,
https://www.royalroad.com/fiction/56002/counter-a-fighting-game-litrpg-adventure,COUNTER: A Fighting-Game LitRPG Adventure,AuthorTomieW,4.625,14882.0,992.0,22.0,3.0,4.0,105.0,,,
https://www.royalroad.com/fiction/56287/stars-align,Stars Align,NullMagic,5.0,489.0,98.0,22.0,3.0,3.0,49.0,,,
https://www.royalroad.com/fiction/56295/futuremagic,FutureMagic,Malaklein,4.92857,1132.0,113.0,22.0,10.0,7.0,84.0,,,
https://www.royalroad.com/fiction/55027/how-to-kill-a-god-a-fantasy-gamelit-thriller,How To Kill A God: A Fantasy Gamelit Thriller,daftpunkmarx,4.0,1856.0,77.0,22.0,5.0,2.0,155.0,,,
https://www.royalroad.com/fiction/53191/the-reclaimers,The Reclaimers,Mr_Fruity,4.5,7178.0,156.0,22.0,6.0,3.0,515.0,,,
https://www.royalroad.com/fiction/57716/abbys-gift,Abby's Gift,YS1,4.4375,7450.0,113.0,22.0,3.0,8.0,420.0,,,
https://www.royalroad.com/fiction/36375/chevalier-of-the-end,Chevalier of the End,Rados47,4.0,539.0,90.0,22.0,7.0,3.0,41.0,,,
https://www.royalroad.com/fiction/59092/nine-steps-to-godhood-an-epic-progression-fantasy,Nine Steps To Godhood - An Epic Progression Fantasy,s1ck,4.8125,1536.0,64.0,22.0,12.0,8.0,123.0,https://www.patreon.com/s1ck,,
https://www.royalroad.com/fiction/54630/clement,Clement,TroubleInParadise,4.1875,5560.0,222.0,22.0,4.0,8.0,216.0,,,
https://www.royalroad.com/fiction/55122/the-errant-otherworlder,The Errant Otherworlder,The Cabbage Preacher,4.333335,5615.0,194.0,22.0,2.0,12.0,220.0,,,
https://www.royalroad.com/fiction/52357/everlasting-mage,Everlasting Mage,Alfir,4.333335,4142.0,197.0,22.0,7.0,6.0,163.0,,,
https://www.royalroad.com/fiction/16843/inside-metsys,Inside Metsys,Sage Aegir Nvehem,3.75,10602.0,279.0,22.0,6.0,2.0,293.0,,,
https://www.royalroad.com/fiction/44497/unending-war,Unending War,Little Racoon,3.81818,11131.0,129.0,22.0,4.0,11.0,805.0,,,
